Algorithm,Scene,Success,TriangulatedPoints,MeanReprojError,MatchTime(s)
RoMA,delivery_area_1l,True,2260,0.221,42.091
HomoMatcher,delivery_area_1l,True,111,0.428,5.071
RoMA,delivery_area_1s,True,3325,0.155,40.383
HomoMatcher,delivery_area_1s,True,194,0.257,3.567
RoMA,delivery_area_2l,True,1402,0.136,40.374
HomoMatcher,delivery_area_2l,False,0,nan,4.968
RoMA,delivery_area_2s,False,0,nan,40.692
HomoMatcher,delivery_area_2s,True,2588,0.305,3.569
RoMA,delivery_area_3l,True,2099,0.122,45.683
HomoMatcher,delivery_area_3l,False,0,nan,5.301
RoMA,delivery_area_3s,True,7,0.222,44.463
HomoMatcher,delivery_area_3s,False,0,nan,3.582
RoMA,electro_1l,True,655,0.093,41.480
HomoMatcher,electro_1l,True,4914,0.278,5.001
RoMA,electro_1s,True,1442,0.050,43.508
HomoMatcher,electro_1s,False,0,nan,3.623
RoMA,electro_2l,False,0,nan,42.034
HomoMatcher,electro_2l,False,0,nan,5.177
RoMA,electro_2s,False,0,nan,42.542
HomoMatcher,electro_2s,False,0,nan,3.891
RoMA,electro_3l,True,4228,0.083,40.181
HomoMatcher,electro_3l,True,206,0.244,4.570
RoMA,electro_3s,False,0,nan,41.768
HomoMatcher,electro_3s,True,15,0.116,3.331
RoMA,facade_1s,True,408,0.343,41.888
HomoMatcher,facade_1s,False,0,nan,3.445
RoMA,forest_1s,True,870,0.261,40.443
HomoMatcher,forest_1s,False,0,nan,3.511
RoMA,forest_2s,True,4825,0.099,40.457
HomoMatcher,forest_2s,True,454,0.247,3.495
RoMA,playground_1l,True,2756,0.056,39.946
HomoMatcher,playground_1l,True,4,0.413,4.993
RoMA,playground_1s,True,3096,0.157,39.859
HomoMatcher,playground_1s,False,0,nan,3.448
RoMA,playground_2l,True,1177,0.141,39.734
HomoMatcher,playground_2l,True,326,0.260,4.643
RoMA,playground_2s,True,841,0.048,39.522
HomoMatcher,playground_2s,False,0,nan,3.288
RoMA,playground_3l,True,3304,0.177,40.728
HomoMatcher,playground_3l,True,88,0.258,5.053
RoMA,playground_3s,True,2378,0.123,40.122
HomoMatcher,playground_3s,False,0,nan,3.369
RoMA,terrace_1s,False,0,nan,39.557
HomoMatcher,terrace_1s,False,0,nan,3.436
RoMA,terrace_2s,True,279,0.070,39.762
HomoMatcher,terrace_2s,True,757,0.252,3.502
RoMA,terrains_1l,True,9990,0.078,39.278
HomoMatcher,terrains_1l,True,2978,0.268,4.868
RoMA,terrains_1s,True,9994,0.058,39.687
HomoMatcher,terrains_1s,True,2048,0.282,3.441
RoMA,terrains_2l,True,9998,0.098,39.677
HomoMatcher,terrains_2l,True,2709,0.274,4.822
RoMA,terrains_2s,True,9996,0.132,39.096
HomoMatcher,terrains_2s,True,2453,0.284,3.354
